PROJ_NO,LOCATION,CHANGE_DATE,PROJ_NAME1,PCV_NAME,SUMMARY,STATE,OVERS_PART,OVERS_PCT,PROJ_REQ,UNIDENT_BAL,ATTRIBUTE4,SECTOR,SUB_SECTOR,LAST_UPDATED_FROM_PAYGOV
SPF-AGG,OSP/GGM,2014-10-03T09:28:58,Agriculture Fund,"Special Fund","Contributions to the Agriculture Fund support one of the most basic needs of communities worldwide: safe and sustainable food production.  Agriculture projects target areas such as community food production systems, pesticide safety, crop production, animal husbandry, apiculture, agriculture marketing, farm economics, and formation of agricultural cooperatives.  As food security continues to be a global concern, it is imperative to support communities' agricultural development.",Sp,,,0,0,,Agriulture,,2015-01-12T00:00:00
304-CFD,ALBANIA,2014-12-09T09:30:21,Albania Country Fund,"ALBANIA COUNTRY FUND","Contributions to the Albania Country Fund will support Volunteer and community projects that will take place in Albania. These projects include water and sanitation, agricultural development, and youth programs.",AL,,,0,0,,None,,2015-01-12T00:00:00
SPF-ALF,MOZAMBIQUE,2014-10-03T09:28:59,Alden Landis Memorial Fund,"ALDEN LANDIS MEMORIAL FUND","All donations to the Alden Landis Memorial Fund will support approved Peace Corps Partnership Program (PCPP) projects in Mozambique including those with an emphasis on healthcare and safety.",AL,,,0,0,,None,,2015-01-12T00:00:00
305-CFD,ARMENIA,2014-12-29T09:21:06,Armenia Country Fund,"ARMENIA COUNTRY FUND","Contributions to the Armenia Country Fund will support Volunteer and community projects that will take place in Armenia.  These projects include water and sanitation, agricultural development, and youth programs.",AR,,,0,0,,None,,2015-01-12T00:00:00
15-680-006,BENIN,2015-01-13T10:21:37,Artisan Apprenticeship Program for Disadvantaged Girls,"NY Cretz, M.","This project will enroll 15 disadvantaged girls to work with a local artisan to develop lifelong, professional skills in two professions. The girls will be able to choose from weaving, tailoring, jewelry making, and macrame. Learning an artisan craft provides a lifetime opportunity to escape poverty and achieve a better life through their work. In addition to learning the technical skills of their chosen crafts, they will be learning business skills: accounting, marketing, inventory management, and drafting a business plan. Furthermore, the artisan will be teaching the girls not only how to navigate the local market, but also how to sell in markets and trade fairs throughout Benin and even other parts of West Africa. Ultimately the participants will have all the tools necessary to escape poverty.",NY,23352.63,92,2046.32,2046.32,,Gender and Development,Business Training,2015-01-12T00:00:00
314-CFD,AZERBAIJAN,2014-03-12T12:19:12,Azerbaijan Country Fund,"AZERBAIJAN COUNTRY FUND","Contributions to the Azerbaijan Country Fund will support Volunteer and community projects that will take place in Azerbaijan. These projects often focus on developing the skills of youth, but may also cover other pressing needs determined by the community.",AZ,,,0,0,,None,,2015-01-12T00:00:00
14-641-010,GHANA,2014-12-31T09:18:53,Basic School Classrooms Renovation Project,"SC Meyers, S.","In this town there are about 1200 residents, most of whom are subsistence farmers.  The only School in town holds classes for 465 students in 6 cement classrooms and 3 makeshift classrooms. The 3 makeshift classrooms were built about 5 years ago by communal labor and are in disrepair. The wood pillars holding the roof are rotting, the tin roof is slumping and the thatched roof leaks, the mud and two cement walls are incomplete and crumbling, the floors are primarily uneven compacted dirt, new blackboards are needed, and the school is in need of 78 'single' desk and chairs for JHS and P5 and P6, 30 'double' desks and chairs for P1-P4, and 23 round tables for KG. The community wants to reconstruct the old building (with 3 classrooms and a small office and storage area) so that it will be safe for the children and will improve school resources and learning environment. The community will provide the land and labor needed to complete this project and maintain the building.",SC,3088.71,26,8965.86,7145,,Municipal Development,School Renno/Repair/Enha,2015-01-12T00:00:00
535-CFD,BELIZE,2012-12-31T10:57:36,Belize Country Fund,"BELIZE COUNTRY FUND","Contributions to the Belize Country Fund will support Volunteer and community projects that will take place in Belize. These projects include water and sanitation, agricultural development, and youth programs.",BE,,,0,0,,None,,2015-01-12T00:00:00
680-CFD,BENIN,2014-12-15T09:21:02,Benin Country Fund,"BENIN COUNTRY FUND","Contributions to the Benin Country Fund will support Volunteer and community projects in education, health, environment and small business.  The fund also supports initiatives, such as Gender and Development (GAD), which cover all sectors.  You can earmark your contribution to support girls¿ empowerment camps and/or girls¿ scholarships and other GAD activities.
",BE,,,0,0,,None,,2015-01-12T00:00:00
15-680-003,BENIN,2015-01-09T11:29:27,Benin Maternity,"WI Chicoine, L.","A maternity building will help improve child and neonatal health, prevent childhood illness and will encourage business development. This project will include educating at least 30 women on essential maternal care practices and positive behaviors to improve the care of a newborn. The current health center only has one room available for mothers to give birth and it is located in the same area as those who are sick, creating an unhealthy environment for delivering mothers and their newborns. A maternity building will solve this issue and encourage those who have babies in their homes to come to the health center to receive appropriate care for themselves and their children. After building the maternity at least 30 children will be vaccinated by 12 months of age to prevent childhood illnesses. A maternity building will give the community the space required to provide better care for pregnant mothers and to educate them on healthy maternal practices. This maternity will be a great improvement of the health care services that are already available in the community.",WI,5002.00,33,9995,7605,,Municipal Development,Health Facility,2015-01-12T00:00:00
